2025-09-28 03:46:24,431 |     INFO |             __init__:  60 | === Starting PDF Processing Run: debug_overfitting ===
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 10: b'TJ' with 1 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Q1.', 'What', 'is', 'the', 'primary', 'b', 'ene\x0ct', 'of', 'stac', 'king', 'm', 'ultiple', 'RNN', 'la', 'y', 'ers', '(i.e.,', 's', 'tac', 'k', 'ed']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q1.WhatistheprimarybenefitofstackingmultipleRNNlayers(i.e.,stacked'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 11: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 12: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['RNNs)?']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'RNNs)?'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 13: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 14: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['A.']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 15: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 16: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['F', 'aster', 'training']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Fastertraining'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 17: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 18: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 19: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['B.']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 20: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 21: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Lo', 'w', 'er', 'memory', 'usage']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Lowermemoryusage'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 22: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 23: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 24: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['C.']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 25: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 26: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Better', 'learning', 'of', 'hierarc', 'hical', 'features']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Betterlearningofhierarchicalfeatures'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 27: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 28: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 29: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['D.']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 30: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 31: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Simp', 'ler', 'arc', 'hit', 'ecture']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Simplerarchitecture'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 32: b'Tf' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 33: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 34: b'TJ' with 1 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Q2.', 'Whic', 'h', 'of', 'the', 'follo', 'wing', 'is', 'the', 'main', 'reason', 'RNNs', 'struggle', 'with', 'long-term', 'dep', 'en-']
2025-09-28 03:46:24,462 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q2.WhichofthefollowingisthemainreasonRNNsstrugglewithlong-termdepen-'
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 35: b'Td' with 2 operands
2025-09-28 03:46:24,462 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 36: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['dencies?']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'dencies?'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 37: b'Td' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 38: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['A.']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 39: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 40: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Ov', 'er\x0ctting']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Overfitting'
2025-09-28 03:46:24,463 |     INFO |     process_tj_array:  52 | TJ Array - Applied 1 replacements
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 41: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 42: b'Td' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 43: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['B.']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 44: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 45: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['V', 'anishing', 'gradien', 'ts']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Vanishinggradients'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 46: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 47: b'Td' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 48: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['C.']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 49: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 50: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Lac', 'k', 'of', 'non-linearit', 'y']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Lackofnon-linearity'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 51: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 52: b'Td' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 53: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['D.']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 54: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 55: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Insu\x0ecie', 'n', 't', 'data']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Insuffcientdata'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 56: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 57: b'Td' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 58: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Q3.', 'What', 'di\x0beren', 'tiates', 'an', 'LSTM', 'cell', 'f', 'rom', 'a', 's', 'tanda', 'rd', 'RN', 'N', 'cell?']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q3.WhatdiflerentiatesanLSTMcellfromastandardRNNcell?'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 59: b'Td' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 60: b'TJ' with 1 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['A.']
2025-09-28 03:46:24,463 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.'
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 61: b'Tf' with 2 operands
2025-09-28 03:46:24,463 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 62: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['It', 'uses', 'ReLU', 'instead', 'of', 'tanh']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'ItusesReLUinsteadoftanh'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 63: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 64: b'Td' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 65: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['B.']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 66: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 67: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['It', 'in', 'tro', 'duces', 'gates', 'to', 'con', 'tro', 'l', 'the', '\ro', 'w', 'of', 'inform', 'ation']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Itintroducesgatestocontroltheowofinformation'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 68: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 69: b'Td' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 70: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['C.']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 71: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 72: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['It', 'has', 'few', 'er', 'parameters']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Ithasfewerparameters'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 73: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 74: b'Td' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 75: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['D.']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 76: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 77: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['It', 'is', 'a', 'con', 'v', 'olutional', 'arc', 'hitecture']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Itisaconvolutionalarchitecture'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 78: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 79: b'Td' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 80: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Q4.', 'In', 'a', 'standard', 'LSTM,', 'whic', 'h', 'gate', 'is', 'res', 'p', 'onsible', 'for', 'deciding', 'ho', 'w', 'm', 'uc', 'h', 'of', 'the']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q4.InastandardLSTM,whichgateisresponsiblefordecidinghowmuchofthe'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 81: b'Td' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 82: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['past', 'memory', 'to', 'k', 'eep?']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'pastmemorytokeep?'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 83: b'Td' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 84: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['A.']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 85: b'Tf' with 2 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 86: b'TJ' with 1 operands
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Outp', 'ut', 'gate']
2025-09-28 03:46:24,464 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Outputgate'
2025-09-28 03:46:24,464 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 87: b'Td' with 2 operands
2025-09-28 03:46:24,465 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 88: b'TJ' with 1 operands
2025-09-28 03:46:24,465 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['1']
2025-09-28 03:46:24,465 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '1'
2025-09-28 03:46:24,465 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 89: b'ET' with 0 operands
2025-09-28 03:46:24,469 |     INFO | _apply_overlay_mode_mapping: 297 | Processing page 2 with 100 operations
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 1: b'BT' with 0 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 2: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 3: b'Td' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 4: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['B.']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 5: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 6: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['F', 'orget', 'gate']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Forgetgate'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 7: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 8: b'Td' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 9: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['C.']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 10: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 11: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Input', 'gate']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Inputgate'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 12: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 13: b'Td' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 14: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['D.']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 15: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 16: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Up', 'date', 'gate']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Updategate'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 17: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 18: b'Td' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 19: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Descriptiv', 'e', 'Questions']
2025-09-28 03:46:24,469 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'DescriptiveQuestions'
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 20: b'Tf' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 21: b'Td' with 2 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 22: b'TJ' with 1 operands
2025-09-28 03:46:24,469 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Q5.', 'Wh', 'y', 'is', 'the', 'forget', 'gate', 'bias', 'in', 'L', 'STMs', 'often', 'initialized', 'to', 'a', 'high', 'v', 'alue', '(e.g.,', '2', 'or']
2025-09-28 03:46:24,470 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q5.WhyistheforgetgatebiasinLSTMsofteninitializedtoahighvalue(e.g.,2or'
2025-09-28 03:46:24,470 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 23: b'Td' with 2 operands
2025-09-28 03:46:24,470 |    DEBUG | log_content_stream_operation: 136 | Page 2, Op 24: b'TJ' with 1 operands
2025-09-28 03:46:24,470 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['3)?', 'Explain', 'its', 'e\x0bect', 'on', 'long-term', 'dep', 'endency', 'le', 'a', 'rning.']
2025-09-28 03:46:24,470 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '3)?Explainitseflectonlong-termdependencylearning.'
